1;1
101;480
201;982
301;1588
401;2001
501;2275
601;3016
701;3561
801;4234
901;4767
1001;5195
1101;5715
1201;6193
1301;6545
1401;7116
1501;7493
1601;8209
1701;8626
1801;9154
1901;9868
2001;10654
2101;11061
2201;11368
2301;12145
2401;12492
2501;13290
2601;13566
2701;14237
2801;14260
2901;15206
3001;15525
3101;16529
3201;17257
3301;16547
3401;17564
3501;18824
3601;18612
3701;19313
3801;19835
3901;20425
4001;20639
4101;21348
4201;21330
4301;22449
4401;23246
4501;23610
4601;23974
4701;24541
4801;25125
4901;25552
5001;26475
5101;26675
5201;26468
5301;27362
5401;28682
5501;28777
5601;29225
5701;29481
5801;30060
5901;30985
6001;31557
6101;32102
6201;32412
6301;33152
6401;33715
6501;34393
6601;35050
6701;35181
6801;35467
6901;35988
7001;36211
7101;37129
7201;37541
7301;37243
7401;38692
7501;39161
7601;40112
7701;40074
7801;41161
7901;41280
8001;42273
8101;42651
8201;43709
8301;44116
8401;44295
8501;44317
8601;44856
8701;45320
8801;45269
8901;45902
9001;46452
9101;46892
9201;48635
9301;48187
9401;48089
9501;49053
9601;50009
9701;50628
9801;50483
9901;51697
10001;51678
