1;0
101;31
201;65
301;100
401;154
501;206
601;255
701;284
801;283
901;346
1001;391
1101;448
1201;474
1301;490
1401;540
1501;568
1601;589
1701;652
1801;736
1901;733
2001;750
2101;784
2201;878
2301;855
2401;898
2501;947
2601;1000
2701;996
2801;1084
2901;1120
3001;1144
3101;1153
3201;1223
3301;1225
3401;1309
3501;1314
3601;1351
3701;1398
3801;1416
3901;1449
4001;1541
4101;1575
4201;1701
4301;1736
4401;1662
4501;1743
4601;1787
4701;1804
4801;1850
4901;1881
5001;1955
5101;1931
5201;1947
5301;1979
5401;2147
5501;2199
5601;2159
5701;2240
5801;2286
5901;2247
6001;2223
6101;2315
6201;2388
6301;2469
6401;2455
6501;2498
6601;2637
6701;2636
6801;2684
6901;2684
7001;2785
7101;2720
7201;2757
7301;2924
7401;2882
7501;2951
7601;2858
7701;2926
7801;2875
7901;3131
8001;3096
8101;3159
8201;3248
8301;3248
8401;3201
8501;3323
8601;3431
8701;3413
8801;3408
8901;3481
9001;3474
9101;3506
9201;3614
9301;3497
9401;3716
9501;3709
9601;3803
9701;3754
9801;3761
9901;3919
10001;3938
