1;0
101;80
201;133
301;234
401;289
501;375
601;440
701;525
801;615
901;692
1001;720
1101;837
1201;979
1301;934
1401;1065
1501;1066
1601;1143
1701;1226
1801;1304
1901;1348
2001;1393
2101;1492
2201;1543
2301;1538
2401;1731
2501;1728
2601;1749
2701;1870
2801;2093
2901;2025
3001;2070
3101;2200
3201;2110
3301;2215
3401;2310
3501;2350
3601;2376
3701;2499
3801;2604
3901;2634
4001;2751
4101;2678
4201;2843
4301;2884
4401;2973
4501;3144
4601;3225
4701;3104
4801;3306
4901;3346
5001;3365
5101;3425
5201;3358
5301;3524
5401;3703
5501;3687
5601;3594
5701;3794
5801;3832
5901;3975
6001;3893
6101;3931
6201;4185
6301;4056
6401;4158
6501;4210
6601;4368
6701;4491
6801;4518
6901;4508
7001;4573
7101;4781
7201;4744
7301;4907
7401;4920
7501;4943
7601;4895
7701;4926
7801;4909
7901;5062
8001;5085
8101;5382
8201;5144
8301;5320
8401;5309
8501;5520
8601;5536
8701;5556
8801;5760
8901;5668
9001;5902
9101;5724
9201;5939
9301;5861
9401;6008
9501;6122
9601;6004
9701;6285
9801;6259
9901;6318
10001;6185
